location,HigthestInfectionCount,PercentagePopulationInfected
Vanuatu,12019.0,3.6784149058590212
Philippines,4173631.0,3.6116881515632255
Morocco,1276812.0,3.4086518716334271
Nepal,1003441.0,3.284845486645
Vatican,26.0,3.217821782178218
El Salvador,201807.0,3.1848876797888011
India,44998838.0,3.1752534228140035
Sri Lanka,672589.0,3.0807272760584734
Solomon Islands,21611.0,2.9838237568206418
Laos,218870.0,2.906842002439213
Sao Tome and Principe,6597.0,2.9011447142172364
Indonesia,6813429.0,2.4731019098041136
Saudi Arabia,841469.0,2.3111677542784683
Gabon,48992.0,2.0507350992906228
Venezuela,552695.0,1.9528685555991336
Timor,23460.0,1.7490520376530792
Zambia,349287.0,1.7448933866928567
Zimbabwe,265753.0,1.6283347014458285
Lesotho,34490.0,1.4957763508608195
Djibouti,15690.0,1.3998292368923255
Mauritania,63757.0,1.346178939585055
Kyrgyzstan,88889.0,1.3405833329939987
Bangladesh,2045734.0,1.1950332400299537
Myanmar,641280.0,1.1836252184228548
Comoros,9109.0,1.0885737401452944
Equatorial Guinea,17130.0,1.0227378567044556
Rwanda,133194.0,0.96680613400797966
Cambodia,138941.0,0.8286154260316364
Mozambique,233652.0,0.7086909363557613
Pakistan,1580631.0,0.67025629663884811
Kenya,343955.0,0.63662968277404886
Algeria,271910.0,0.60554666582099625
Afghanistan,226220.0,0.55002857853378162
Senegal,89022.0,0.51408914482019752
Ghana,171653.0,0.51276635976899176
Uzbekistan,174123.0,0.50284385471401349
Gambia,12626.0,0.46659361898303581
Egypt,516023.0,0.46492706880801327
Papua New Guinea,46864.0,0.46205001170801446
Guinea-Bissau,9614.0,0.45659628225951993
Cameroon,125090.0,0.44811768718970924
Togo,39522.0,0.44664187959813312
Malawi,88986.0,0.43609219910221442
Congo,25196.0,0.42201315483139407
Burundi,54366.0,0.42178245797400893
Ethiopia,501060.0,0.40611143815872541
Uganda,171843.0,0.3636920601297095
Cote d'Ivoire,88338.0,0.3136941795308813
Angola,105968.0,0.29775495774030825
Haiti,34326.0,0.29629685896499119
Guinea,38563.0,0.27824539233408435
Eritrea,10189.0,0.27657129765928229
Central African Republic,15367.0,0.27543632110135813
Syria,57423.0,0.25953614428262528
Nicaragua,16043.0,0.23088785251845931
Madagascar,68344.0,0.23080052295513553
Benin,28036.0,0.20996244700762323
Tajikistan,17786.0,0.17870367793389369
South Sudan,18368.0,0.16831036842450572
Somalia,27334.0,0.15532881132942233
Liberia,8090.0,0.15256407596898933
Mali,33152.0,0.14673183084872096
Sudan,63993.0,0.13652072995379122
Nigeria,286572.0,0.13112949824531039
Democratic Republic of Congo,98863.0,0.099851312313064752
Burkina Faso,22056.0,0.097275423701155231
Sierra Leone,7766.0,0.090242272497034828
Tanzania,43078.0,0.065770196204596454
Chad,7698.0,0.043434319725342528
Niger,9515.0,0.036305733115964446
Yemen,11945.0,0.035448667658339067
Western Sahara,,
Macao,,
Northern Ireland,,
Wales,,
Northern Cyprus,,
Scotland,,
Turkmenistan,,
Taiwan,,
England,,
North Korea,,
Hong Kong,,
