continent,location,date,population,new_vaccinations,RollingPeoplevaccinated
Asia,Afghanistan,29/05/2020,41128772,,
Asia,Afghanistan,30/05/2020,41128772,,
Asia,Afghanistan,31/05/2020,41128772,,
Asia,Afghanistan,01/06/2020,41128772,,
Asia,Afghanistan,02/06/2020,41128772,,
Asia,Afghanistan,03/06/2020,41128772,,
Asia,Afghanistan,04/06/2020,41128772,,
Asia,Afghanistan,05/06/2020,41128772,,
Asia,Afghanistan,06/06/2020,41128772,,
Asia,Afghanistan,07/06/2020,41128772,,
Asia,Afghanistan,08/06/2020,41128772,,
Asia,Afghanistan,09/06/2020,41128772,,
Asia,Afghanistan,10/06/2020,41128772,,
Asia,Afghanistan,11/06/2020,41128772,,
Asia,Afghanistan,12/06/2020,41128772,,
Asia,Afghanistan,13/06/2020,41128772,,
Asia,Afghanistan,14/06/2020,41128772,,
Asia,Afghanistan,15/06/2020,41128772,,
Asia,Afghanistan,16/06/2020,41128772,,
Asia,Afghanistan,17/06/2020,41128772,,
Asia,Afghanistan,18/06/2020,41128772,,
Asia,Afghanistan,19/06/2020,41128772,,
Asia,Afghanistan,20/06/2020,41128772,,
Asia,Afghanistan,21/06/2020,41128772,,
Asia,Afghanistan,22/06/2020,41128772,,
Asia,Afghanistan,23/06/2020,41128772,,
Asia,Afghanistan,24/06/2020,41128772,,
Asia,Afghanistan,25/06/2020,41128772,,
Asia,Afghanistan,26/06/2020,41128772,,
Asia,Afghanistan,27/06/2020,41128772,,
Asia,Afghanistan,28/06/2020,41128772,,
Asia,Afghanistan,29/06/2020,41128772,,
Asia,Afghanistan,30/06/2020,41128772,,
Asia,Afghanistan,01/07/2020,41128772,,
Asia,Afghanistan,02/07/2020,41128772,,
Asia,Afghanistan,03/07/2020,41128772,,
Asia,Afghanistan,04/07/2020,41128772,,
Asia,Afghanistan,05/07/2020,41128772,,
Asia,Afghanistan,06/07/2020,41128772,,
Asia,Afghanistan,07/07/2020,41128772,,
Asia,Afghanistan,08/07/2020,41128772,,
Asia,Afghanistan,09/07/2020,41128772,,
Asia,Afghanistan,10/07/2020,41128772,,
Asia,Afghanistan,11/07/2020,41128772,,
Asia,Afghanistan,12/07/2020,41128772,,
Asia,Afghanistan,13/07/2020,41128772,,
Asia,Afghanistan,14/07/2020,41128772,,
Asia,Afghanistan,15/07/2020,41128772,,
Asia,Afghanistan,16/07/2020,41128772,,
Asia,Afghanistan,17/07/2020,41128772,,
Asia,Afghanistan,18/07/2020,41128772,,
Asia,Afghanistan,19/07/2020,41128772,,
Asia,Afghanistan,20/07/2020,41128772,,
Asia,Afghanistan,21/07/2020,41128772,,
Asia,Afghanistan,22/07/2020,41128772,,
Asia,Afghanistan,23/07/2020,41128772,,
Asia,Afghanistan,24/07/2020,41128772,,
Asia,Afghanistan,25/07/2020,41128772,,
Asia,Afghanistan,26/07/2020,41128772,,
Asia,Afghanistan,27/07/2020,41128772,,
Asia,Afghanistan,28/07/2020,41128772,,
Asia,Afghanistan,29/07/2020,41128772,,
Asia,Afghanistan,30/07/2020,41128772,,
Asia,Afghanistan,31/07/2020,41128772,,
Asia,Afghanistan,01/08/2020,41128772,,
Asia,Afghanistan,02/08/2020,41128772,,
Asia,Afghanistan,03/08/2020,41128772,,
Asia,Afghanistan,04/08/2020,41128772,,
Asia,Afghanistan,05/08/2020,41128772,,
Asia,Afghanistan,06/08/2020,41128772,,
Asia,Afghanistan,07/08/2020,41128772,,
Asia,Afghanistan,08/08/2020,41128772,,
Asia,Afghanistan,09/08/2020,41128772,,
Asia,Afghanistan,10/08/2020,41128772,,
Asia,Afghanistan,11/08/2020,41128772,,
Asia,Afghanistan,12/08/2020,41128772,,
Asia,Afghanistan,13/08/2020,41128772,,
Asia,Afghanistan,14/08/2020,41128772,,
Asia,Afghanistan,15/08/2020,41128772,,
Asia,Afghanistan,16/08/2020,41128772,,
Asia,Afghanistan,17/08/2020,41128772,,
Asia,Afghanistan,18/08/2020,41128772,,
Asia,Afghanistan,19/08/2020,41128772,,
Asia,Afghanistan,20/08/2020,41128772,,
Asia,Afghanistan,21/08/2020,41128772,,
Asia,Afghanistan,22/08/2020,41128772,,
Asia,Afghanistan,23/08/2020,41128772,,
Asia,Afghanistan,24/08/2020,41128772,,
Asia,Afghanistan,25/08/2020,41128772,,
Asia,Afghanistan,26/08/2020,41128772,,
Asia,Afghanistan,27/08/2020,41128772,,
Asia,Afghanistan,28/08/2020,41128772,,
Asia,Afghanistan,29/08/2020,41128772,,
Asia,Afghanistan,30/08/2020,41128772,,
